Feature,Classifier,Accuracy,Normalization
mfccs_1_var,KNN Cosine,0.06666666666666667,Scaled
mfccs_1_var,Random Forest,0.09666666666666666,Scaled
mfccs_1_var,SVC,0.08333333333333333,Scaled
mfccs_1_var,XGB,0.12333333333333334,Scaled
mfccs_1_var,KNN Euclidean,0.08333333333333333,Normalized
mfccs_1_var,KNN Cosine,0.06666666666666667,Normalized
mfccs_1_var,Random Forest,0.09666666666666666,Normalized
mfccs_1_var,SVC,0.05333333333333334,Normalized
mfccs_1_var,XGB,0.12333333333333334,Normalized
mfccs_2_var,KNN Euclidean,0.06333333333333334,Scaled
mfccs_2_var,KNN Cosine,0.07666666666666666,Scaled
mfccs_2_var,Random Forest,0.07333333333333333,Scaled
mfccs_2_var,SVC,0.11666666666666667,Scaled
mfccs_2_var,XGB,0.07333333333333333,Scaled
mfccs_2_var,KNN Euclidean,0.06333333333333334,Normalized
mfccs_2_var,KNN Cosine,0.07666666666666666,Normalized
mfccs_2_var,Random Forest,0.07,Normalized
mfccs_2_var,SVC,0.056666666666666664,Normalized
mfccs_2_var,XGB,0.07333333333333333,Normalized
mfccs_3_var,KNN Euclidean,0.06666666666666667,Scaled
mfccs_3_var,KNN Cosine,0.06,Scaled
mfccs_3_var,Random Forest,0.09666666666666666,Scaled
mfccs_3_var,SVC,0.1,Scaled
mfccs_3_var,XGB,0.10666666666666667,Scaled
mfccs_3_var,KNN Euclidean,0.06666666666666667,Normalized
mfccs_3_var,KNN Cosine,0.06,Normalized
mfccs_3_var,Random Forest,0.09666666666666666,Normalized
mfccs_3_var,SVC,0.05333333333333334,Normalized
mfccs_3_var,XGB,0.10666666666666667,Normalized
mfccs_4_var,KNN Euclidean,0.08666666666666667,Scaled
mfccs_4_var,KNN Cosine,0.08666666666666667,Scaled
mfccs_4_var,Random Forest,0.08,Scaled
mfccs_4_var,SVC,0.09333333333333334,Scaled
mfccs_4_var,XGB,0.09666666666666666,Scaled
mfccs_4_var,KNN Euclidean,0.08666666666666667,Normalized
mfccs_4_var,KNN Cosine,0.08666666666666667,Normalized
mfccs_4_var,Random Forest,0.08,Normalized
mfccs_4_var,SVC,0.05333333333333334,Normalized
mfccs_4_var,XGB,0.09666666666666666,Normalized
mfccs_5_var,KNN Euclidean,0.09666666666666666,Scaled
mfccs_5_var,KNN Cosine,0.06,Scaled
mfccs_5_var,Random Forest,0.1,Scaled
mfccs_5_var,SVC,0.09666666666666666,Scaled
mfccs_5_var,XGB,0.11333333333333333,Scaled
mfccs_5_var,KNN Euclidean,0.09666666666666666,Normalized
mfccs_5_var,KNN Cosine,0.06,Normalized
mfccs_5_var,Random Forest,0.1,Normalized
mfccs_5_var,SVC,0.06,Normalized
mfccs_5_var,XGB,0.11333333333333333,Normalized
mfccs_6_var,KNN Euclidean,0.056666666666666664,Scaled
mfccs_6_var,KNN Cosine,0.056666666666666664,Scaled
mfccs_6_var,Random Forest,0.08333333333333333,Scaled
mfccs_6_var,SVC,0.10333333333333333,Scaled
mfccs_6_var,XGB,0.09333333333333334,Scaled
mfccs_6_var,KNN Euclidean,0.056666666666666664,Normalized
mfccs_6_var,KNN Cosine,0.056666666666666664,Normalized
mfccs_6_var,Random Forest,0.08333333333333333,Normalized
mfccs_6_var,SVC,0.05333333333333334,Normalized
mfccs_6_var,XGB,0.09333333333333334,Normalized
mfccs_7_var,KNN Euclidean,0.06333333333333334,Scaled
mfccs_7_var,KNN Cosine,0.06666666666666667,Scaled
mfccs_7_var,Random Forest,0.06333333333333334,Scaled
mfccs_7_var,SVC,0.09333333333333334,Scaled
mfccs_7_var,XGB,0.07333333333333333,Scaled
mfccs_7_var,KNN Euclidean,0.06333333333333334,Normalized
mfccs_7_var,KNN Cosine,0.06666666666666667,Normalized
mfccs_7_var,Random Forest,0.06333333333333334,Normalized
mfccs_7_var,SVC,0.05,Normalized
mfccs_7_var,XGB,0.07333333333333333,Normalized
mfccs_8_var,KNN Euclidean,0.06,Scaled
mfccs_8_var,KNN Cosine,0.04666666666666667,Scaled
mfccs_8_var,Random Forest,0.07666666666666666,Scaled
mfccs_8_var,SVC,0.09,Scaled
mfccs_8_var,XGB,0.09333333333333334,Scaled
mfccs_8_var,KNN Euclidean,0.06,Normalized
mfccs_8_var,KNN Cosine,0.04666666666666667,Normalized
mfccs_8_var,Random Forest,0.07666666666666666,Normalized
mfccs_8_var,SVC,0.056666666666666664,Normalized
mfccs_8_var,XGB,0.09333333333333334,Normalized
mfccs_9_var,KNN Euclidean,0.09666666666666666,Scaled
mfccs_9_var,KNN Cosine,0.07666666666666666,Scaled
mfccs_9_var,Random Forest,0.10666666666666667,Scaled
mfccs_9_var,SVC,0.09666666666666666,Scaled
mfccs_9_var,XGB,0.12,Scaled
mfccs_9_var,KNN Euclidean,0.09666666666666666,Normalized
mfccs_9_var,KNN Cosine,0.07666666666666666,Normalized
mfccs_9_var,Random Forest,0.10666666666666667,Normalized
mfccs_9_var,SVC,0.056666666666666664,Normalized
mfccs_9_var,XGB,0.12,Normalized
mfccs_10_var,KNN Euclidean,0.08666666666666667,Scaled
mfccs_10_var,KNN Cosine,0.06,Scaled
mfccs_10_var,Random Forest,0.08666666666666667,Scaled
mfccs_10_var,SVC,0.09333333333333334,Scaled
mfccs_10_var,XGB,0.09333333333333334,Scaled
mfccs_10_var,KNN Euclidean,0.08666666666666667,Normalized
mfccs_10_var,KNN Cosine,0.06,Normalized
mfccs_10_var,Random Forest,0.08666666666666667,Normalized
mfccs_10_var,SVC,0.07,Normalized
mfccs_10_var,XGB,0.09333333333333334,Normalized
mfccs_11_var,KNN Euclidean,0.07666666666666666,Scaled
mfccs_11_var,KNN Cosine,0.056666666666666664,Scaled
mfccs_11_var,Random Forest,0.056666666666666664,Scaled
mfccs_11_var,SVC,0.09,Scaled
mfccs_11_var,XGB,0.09,Scaled
mfccs_11_var,KNN Euclidean,0.07666666666666666,Normalized
mfccs_11_var,KNN Cosine,0.056666666666666664,Normalized
mfccs_11_var,Random Forest,0.056666666666666664,Normalized
mfccs_11_var,SVC,0.06666666666666667,Normalized
mfccs_11_var,XGB,0.09,Normalized
mfccs_12_var,KNN Euclidean,0.06666666666666667,Scaled
mfccs_12_var,KNN Cosine,0.09666666666666666,Scaled
mfccs_12_var,Random Forest,0.09,Scaled
mfccs_12_var,SVC,0.07333333333333333,Scaled
mfccs_12_var,XGB,0.05,Scaled
mfccs_12_var,KNN Euclidean,0.06666666666666667,Normalized
mfccs_12_var,KNN Cosine,0.09666666666666666,Normalized
mfccs_12_var,Random Forest,0.09,Normalized
mfccs_12_var,SVC,0.04666666666666667,Normalized
mfccs_12_var,XGB,0.05,Normalized
mfccs_13_var,KNN Euclidean,0.07,Scaled
mfccs_13_var,KNN Cosine,0.06666666666666667,Scaled
mfccs_13_var,Random Forest,0.08666666666666667,Scaled
mfccs_13_var,SVC,0.09666666666666666,Scaled
mfccs_13_var,XGB,0.1,Scaled
mfccs_13_var,KNN Euclidean,0.07,Normalized
mfccs_13_var,KNN Cosine,0.06666666666666667,Normalized
mfccs_13_var,Random Forest,0.08666666666666667,Normalized
